mean_init,mean_final,improvement,std_final,step,model_path
2.183087886053483,2.168352495795263,-0.014735390258219905,0.6582233749430266,100,./checkpoints_SAC_perturbed_so2_replace/model_100.zip
2.2140626594131767,2.165416767262067,-0.04864589215110948,0.6647814879654501,1000,./checkpoints_SAC_perturbed_so2_replace/model_1000.zip
2.19549318714883,1.4893158966267024,-0.7061772905221277,0.787358646354129,2000,./checkpoints_SAC_perturbed_so2_replace/model_2000.zip
2.2116457015922717,0.6636753008251344,-1.5479704007671373,0.420132895811092,5000,./checkpoints_SAC_perturbed_so2_replace/model_5000.zip
2.2158840867945275,0.3282442173805326,-1.8876398694139949,0.2294449311350496,10000,./checkpoints_SAC_perturbed_so2_replace/model_10000.zip
2.2274531573728082,0.22958050878569128,-1.997872648587117,0.12953040976452831,20000,./checkpoints_SAC_perturbed_so2_replace/model_20000.zip
2.2285346895937317,0.16363719682106367,-2.064897492772668,0.0715744358169432,40000,./checkpoints_SAC_perturbed_so2_replace/model_40000.zip
2.207578351233771,0.11599376163296557,-2.0915845896008056,0.05147310153399996,60000,./checkpoints_SAC_perturbed_so2_replace/model_60000.zip
2.1907045209670413,0.10257410678516125,-2.08813041418188,0.037402620869480166,100000,./checkpoints_SAC_perturbed_so2_replace/model_100000.zip
2.211064511805427,0.07902228097380365,-2.1320422308316234,0.026170616194178795,200000,./checkpoints_SAC_perturbed_so2_replace/model_200000.zip
2.184385777822329,0.06871369383189946,-2.1156720839904297,0.022756310094021247,300000,./checkpoints_SAC_perturbed_so2_replace/model_300000.zip
2.1926012432208544,0.05374819825518887,-2.1388530449656655,0.017584756237367265,400000,./checkpoints_SAC_perturbed_so2_replace/model_400000.zip
2.213610609396009,0.0481289134718034,-2.1654816959242056,0.01728213304986854,500000,./checkpoints_SAC_perturbed_so2_replace/model_500000.zip
