mean_init,mean_final,improvement,std_final,step,model_path
2.15903007685934,2.160587792555429,0.0015577156960890903,0.6709153048193259,100,./checkpoints_SAC_perturbed_so2/model_100.zip
2.211027367109336,2.1056727391214225,-0.1053546279879134,0.7599634520687414,1000,./checkpoints_SAC_perturbed_so2/model_1000.zip
2.2995320456865285,1.5098791905342486,-0.7896528551522799,0.8027940362404018,2000,./checkpoints_SAC_perturbed_so2/model_2000.zip
2.216642264902748,0.7020981651714823,-1.5145440997312658,0.38768139064246016,5000,./checkpoints_SAC_perturbed_so2/model_5000.zip
2.1676822541959226,0.39166701021432454,-1.7760152439815982,0.22411425933125625,10000,./checkpoints_SAC_perturbed_so2/model_10000.zip
2.1603609624191518,0.3003227391435729,-1.8600382232755788,0.15383047743810596,20000,./checkpoints_SAC_perturbed_so2/model_20000.zip
2.141188409789921,0.17259969946299036,-1.9685887103269308,0.08106459032780536,40000,./checkpoints_SAC_perturbed_so2/model_40000.zip
2.1618923269390153,0.145679258444991,-2.0162130684940243,0.06161993941357443,60000,./checkpoints_SAC_perturbed_so2/model_60000.zip
2.0818052850360016,0.10738035781943416,-1.9744249272165675,0.04737430344786317,100000,./checkpoints_SAC_perturbed_so2/model_100000.zip
2.1949044929193953,0.09236334806431236,-2.102541144855083,0.03527765214711923,200000,./checkpoints_SAC_perturbed_so2/model_200000.zip
2.337619768227465,0.07459475780811152,-2.2630250104193532,0.025482198290987437,300000,./checkpoints_SAC_perturbed_so2/model_300000.zip
2.1334233917544436,0.063980831746222,-2.0694425600082216,0.021331326182965724,400000,./checkpoints_SAC_perturbed_so2/model_400000.zip
