mean_init,mean_final,improvement,std_final,step,model_path
2.0841936991454717,2.0238643194449173,-0.06032937970055441,0.6667174338650935,100,./checkpoints_SAC_perturbed_so2_half/model_100.zip
2.2532722353715067,2.0874558052293555,-0.1658164301421512,0.7125494618551024,1000,./checkpoints_SAC_perturbed_so2_half/model_1000.zip
2.145404223863309,1.5476226055463767,-0.5977816183169322,0.7653566712212915,2000,./checkpoints_SAC_perturbed_so2_half/model_2000.zip
2.1325320657584963,0.6685709635791862,-1.4639611021793102,0.4444213908265149,5000,./checkpoints_SAC_perturbed_so2_half/model_5000.zip
2.300406095473152,0.3605057640861976,-1.939900331386954,0.20478573474570141,10000,./checkpoints_SAC_perturbed_so2_half/model_10000.zip
2.1970038996660737,0.2685165978066659,-1.9284873018594078,0.1278866667381295,20000,./checkpoints_SAC_perturbed_so2_half/model_20000.zip
2.1778337143496604,0.18488125048675103,-1.9929524638629095,0.08373158986908102,40000,./checkpoints_SAC_perturbed_so2_half/model_40000.zip
2.177029531239673,0.14379929060879681,-2.0332302406308758,0.06768339861059475,60000,./checkpoints_SAC_perturbed_so2_half/model_60000.zip
2.290477068573798,0.10449435737281278,-2.185982711200985,0.039851751602059685,100000,./checkpoints_SAC_perturbed_so2_half/model_100000.zip
2.2565295246738044,0.08745579898586073,-2.1690737256879435,0.03226006324254837,200000,./checkpoints_SAC_perturbed_so2_half/model_200000.zip
2.156307919033087,0.07462185722035518,-2.0816860618127317,0.023512991331841492,300000,./checkpoints_SAC_perturbed_so2_half/model_300000.zip
2.2909686373530285,0.06511892578899149,-2.2258497115640368,0.02345597417846337,400000,./checkpoints_SAC_perturbed_so2_half/model_400000.zip
