timestep,mean,std,count
0,20.4512579796875,6.006983517761646,1920
100,20.582507675,5.917662753755207,1920
200,20.6182847140625,5.916374870880321,1920
300,20.621609340104165,5.888823991767913,1920
400,20.618620519270834,5.918280504805963,1920
500,20.618133533854166,5.883948914267083,1920
600,20.737878926041667,5.878230398598548,1920
700,20.744437727083334,5.863919343807327,1920
800,20.747219252604168,5.858011184227294,1920
900,20.832410281770834,5.841148722800938,1920
1000,20.634018120312497,5.7338922893260955,1920
1100,20.698568196874998,5.814842008695482,1920
1200,20.77457708958333,5.809896040193493,1920
1300,20.854576266145834,5.790967281072482,1920
1400,20.832688102604166,5.766427818034979,1920
1500,20.981299952083337,5.754566068289395,1920
1600,21.023816236979165,5.750766606858944,1920
1700,21.1037979359375,5.782000640037317,1920
1800,21.121667819270833,5.687568515487826,1920
1900,21.224577949479166,5.628028355719828,1920
2000,20.885091869791665,5.489386525732543,1920
2100,21.032543492187497,5.514039248738471,1920
2200,21.1341643875,5.497778991557726,1920
2300,21.2706592890625,5.477679925006667,1920
2400,21.412946138020835,5.480935664895032,1920
2500,21.5247824328125,5.479406790560693,1920
2600,21.62957166979167,5.474816248898521,1920
2700,21.647132743229168,5.513736607206175,1920
2800,21.676092356770834,5.476507021956973,1920
2900,21.69846335,5.44010295587427,1920
3000,21.320161775,5.213443330436325,1920
3100,21.461780944791666,5.17815563446777,1920
3200,21.534019423958334,5.206868990757734,1920
3300,21.536028561979165,5.202886257658161,1920
3400,21.536250688541667,5.167919111441229,1920
3500,21.581697986458334,5.115746639900694,1920
3600,21.614892926041666,5.165339453021175,1920
3700,21.57827383020833,5.064382772449238,1920
3800,21.561963852083334,5.047171101577157,1920
3900,21.587404029687498,5.003392991619478,1920
4000,21.273513269791668,4.893003308286566,1920
4100,21.325665961458334,4.891908014581044,1920
4200,21.454219235416666,4.877509002675116,1920
4300,21.45551886666667,4.846899190483185,1920
4400,21.496004563541664,4.815085425033795,1920
4500,21.4722282796875,4.796943465795106,1920
4600,21.439896966666666,4.812207704164901,1920
4700,21.4321869828125,4.790510584904903,1920
4800,21.420556121875,4.757931547515343,1920
4900,21.465081189583334,4.761135275765813,1920
5000,21.161148594270834,4.7007146503695845,1920
