mean_init,mean_final,improvement,std_final,step,model_path
2.1933909947727006,2.1770590394116724,-0.01633195536102816,0.6216432564531411,100,./checkpoints_DDPG_perturbed/model_100.zip
2.269765541082556,1.989738026599582,-0.280027514482974,0.7664713626751147,1000,./checkpoints_DDPG_perturbed/model_1000.zip
2.162863835460352,1.5314473659031085,-0.6314164695572437,0.7312854470463169,2000,./checkpoints_DDPG_perturbed/model_2000.zip
2.3296603112285545,0.9062359434525209,-1.4234243677760336,0.4190728949817702,5000,./checkpoints_DDPG_perturbed/model_5000.zip
2.298105193367742,0.521776204558158,-1.776328988809584,0.2698085149416335,10000,./checkpoints_DDPG_perturbed/model_10000.zip
2.214712647129927,0.42432119139702096,-1.7903914557329061,0.19471689618631305,20000,./checkpoints_DDPG_perturbed/model_20000.zip
2.1672582271364633,0.3144898574224071,-1.8527683697140562,0.1458052494698406,40000,./checkpoints_DDPG_perturbed/model_40000.zip
2.1557979339944877,0.2578642250831782,-1.8979337089113095,0.10809725071955717,60000,./checkpoints_DDPG_perturbed/model_60000.zip
2.1969886179422584,0.19271715510842582,-2.0042714628338327,0.08562760468827046,100000,./checkpoints_DDPG_perturbed/model_100000.zip
2.1812648583080017,0.13097612063112182,-2.0502887376768797,0.05243686644740685,200000,./checkpoints_DDPG_perturbed/model_200000.zip
2.25617871836351,0.11939171012759175,-2.136787008235918,0.0464836199859137,300000,./checkpoints_DDPG_perturbed/model_300000.zip
2.390130211171071,0.11367598200952143,-2.2764542291615495,0.04522033623521888,400000,./checkpoints_DDPG_perturbed/model_400000.zip
2.15516539273564,0.0930782482113036,-2.062087144524336,0.03910908261367402,500000,./checkpoints_DDPG_perturbed/model_500000.zip
