mean_init,mean_final,improvement,std_final,step,model_path
2.2382952434603594,2.2393764548475783,0.00108121138721895,0.6192948701477055,100,./checkpoints_PPO_perturbed/model_100.zip
2.201205415365259,2.2007159870036475,-0.000489428361611477,0.6732682060358611,1000,./checkpoints_PPO_perturbed/model_1000.zip
2.1959092691755497,2.1953519928070984,-0.000557276368451376,0.63273141797382,2000,./checkpoints_PPO_perturbed/model_2000.zip
2.21999962879506,2.2209706926984505,0.0009710639033904123,0.6432227690485095,5000,./checkpoints_PPO_perturbed/model_5000.zip
2.194992212616538,2.1897248137288816,-0.005267398887656594,0.6468819397716237,10000,./checkpoints_PPO_perturbed/model_10000.zip
2.204071669966914,2.1467513496172312,-0.057320320349682596,0.6594641102495062,20000,./checkpoints_PPO_perturbed/model_20000.zip
2.2032134576472346,2.041593169957594,-0.16162028768964065,0.6734496122225112,40000,./checkpoints_PPO_perturbed/model_40000.zip
2.1823740899147195,1.6230386455477783,-0.5593354443669412,0.7667885071684093,60000,./checkpoints_PPO_perturbed/model_60000.zip
2.21907983327829,1.1214476496879024,-1.0976321835903877,0.7120907576496015,100000,./checkpoints_PPO_perturbed/model_100000.zip
2.2096727297701757,0.6541171217025393,-1.5555556080676363,0.4710476490736494,200000,./checkpoints_PPO_perturbed/model_200000.zip
2.2031875973630553,0.5530187954041673,-1.650168801958888,0.386095988764851,300000,./checkpoints_PPO_perturbed/model_300000.zip
2.205669351675211,0.5377025345812176,-1.6679668170939934,0.3649639018264634,400000,./checkpoints_PPO_perturbed/model_400000.zip
2.2307676856568674,0.48715070258880994,-1.7436169830680575,0.307301004787395,500000,./checkpoints_PPO_perturbed/model_500000.zip
